"Reference";"BroadFunction";"Protein";"Chr";"Strand";"G.Start";"G.End";"G.Size..nt.";"Inter.genic";"Start..cum.";"End..cum.";"N..Introns";"Size..nt..sum";"Size_prot.aa.";"Final.Description";"Closest.Organism..excl..Ophios.Sporothrix.";"Closest.Organism..excl..O.novo.ulmi.only.";"KEGG_KO.";"KEGG_Name";"Blast2GO_Annotation";"X.GO.Terms";"GO.Terms";"Enzyme.Code";"CAZy";"MEROPS_family";"SignalP";"Alterna_Splice";"SMURF";"Notes";"gene_ID"
"650";"Anna Fijarczyk";"Transcription factor";"OphioH327gp0285";"I";"-";"1.129.383";"1.131.319";2.346;409;"1.128.974";"1.131.319";0;0;781;"Oleate activated transcription factor 3";"Gaeumannomyces graminis";"Ophiostoma piceae";"";"";"c6 transcription";9;"P:transcription from RNA polymerase II promoter; F:DNA binding; C:nucleus; F:zinc ion binding; P:regulation of transcription from RNA polymerase II promoter; F:sequence-specific DNA binding RNA polymerase II transcription factor activity; P:regulation of transcription, DNA-dependent; F:metal ion binding; P:transcription, DNA-dependent";"";"";"";"N";"";"";"";"g0285"
"651";"Anna Fijarczyk";"Transcription factor";"OphioH327gp0340";"I";"+";"1.332.088";"1.335.320";3.233;3.318;"1.332.088";"1.335.320";1;65;1.055;"Fungal specific transcription factor";"Grosmannia clavigera";"Ophiostoma piceae";"";"";"fungal specific transcription factor domain-containing protein";5;"F:sequence-specific DNA binding RNA polymerase II transcription factor activity; P:regulation of transcription from RNA polymerase II promoter; F:DNA binding; C:nucleus; F:zinc ion binding";"-";"";"";"N";"";"";"";"g0340"
"652";"Anna Fijarczyk";"Transcription factor";"OphioH327gp0359";"I";"-";"1.392.269";"1.394.473";2.205;1.294;"1.392.269";"1.394.473";0;0;734;"RNA polymerase 3 transcription factor";"Grosmannia clavigera";"Ophiostoma piceae";"K15202";"GTF3C5, TFC1; general transcription factor 3C polypeptide 5 (transcription factor C subunit 1)";"transcription factor tau subunit sfc1";0;"-";"";"";"";"N";"";"";"";"g0359"
"653";"Anna Fijarczyk";"Transcription factor";"OphioH327gp0401";"I";"+";"1.552.797";"1.553.864";1.068;7.997;"1.552.797";"1.553.864";0;0;355;"AP-1-like transcription factor YAP5";"Saccharomyces cerevisiae";"Ophiostoma piceae";"";"";"yap5p";4;"P:regulation of transcription, DNA-dependent; F:sequence-specific DNA binding; F:protein dimerization activity; F:sequence-specific DNA binding transcription factor activity";"";"";"";"N";"";"";"";"g0401"
"654";"Anna Fijarczyk";"Transcription factor";"OphioH327gp0404";"I";"+";"1.581.442";"1.583.316";1.875;8.932;"1.581.442";"1.583.316";0;0;624;"Transcription factor Sp3";"Myceliophthora thermophila";"Ophiostoma piceae";"";"";"c2h2 finger domain";2;"F:zinc ion binding; C:intracellular";"";"";"";"N";"";"";"";"g0404"
"655";"Anna Fijarczyk";"Transcription factor";"OphioH327gp0427";"I";"+";"1.669.595";"1.670.903";1.309;2.862;"1.669.595";"1.670.903";2;130;392;"C6 zinc finger fungal transcription factor";"Grosmannia clavigera";"Ophiostoma piceae";"";"";"c6 zinc finger domain containing protein";6;"P:regulation of transcription, DNA-dependent; P:transcription from RNA polymerase II promoter; F:sequence-specific DNA binding RNA polymerase II transcription factor activity; F:zinc ion binding; P:regulation of transcription from RNA polymerase II promoter; C:nucleus";"";"";"";"N";"";"";"";"g0427"
"656";"Anna Fijarczyk";"Transcription factor";"OphioH327gp0427.1";"I";"+";"1.671.014";"1.671.817";804;110;"1.671.014";"1.671.817";0;0;267;"C6 zinc finger fungal transcription factor";"Grosmannia clavigera";"Ophiostoma piceae";"";"";"c6 zinc finger domain containing protein";6;"P:regulation of transcription, DNA-dependent; P:transcription from RNA polymerase II promoter; F:sequence-specific DNA binding RNA polymerase II transcription factor activity; F:zinc ion binding; P:regulation of transcription from RNA polymerase II promoter; C:nucleus";"";"";"";"Y";"";"";"";"g0427"
"657";"Anna Fijarczyk";"Transcription factor";"OphioH327gp0437";"I";"+";"1.711.294";"1.714.929";3.636;971;"1.711.294";"1.714.929";1;60;1.191;"Oleate activated transcription factor 3";"Grosmannia clavigera";"Ophiostoma piceae";"";"";"fungal specific transcription factor domain-containing protein";1;"P:transcription, DNA-dependent";"-";"";"";"N";"";"";"";"g0437"
"658";"Anna Fijarczyk";"Transcription factor";"OphioH327gp0469";"I";"+";"1.800.998";"1.803.933";3.353;9.645;"1.800.581";"1.803.933";4;434;972;"Nitrogen assimilation transcription factor nit-4";"Colletotrichum graminicola";"Ophiostoma piceae";"";"";"related to cutinase transcription factor 1 alpha";1;"P:transcription, DNA-dependent";"";"";"";"N";"";"";"";"g0469"
"659";"Anna Fijarczyk";"Transcription factor";"OphioH327gp0509";"I";"-";"1.952.933";"1.956.283";3.351;9.666;"1.952.933";"1.956.283";2;393;985;"Transcription factor SFP1 (Split finger protein 1)";"Grosmannia clavigera";"Ophiostoma piceae";"";"";"c2h2 transcription factor";1;"F:binding";"-";"";"";"N";"";"";"";"g0509"
"660";"Anna Fijarczyk";"Transcription factor";"OphioH327gp0658";"I";"+";"2.536.643";"2.538.831";2.189;2.551;"2.536.643";"2.538.831";3;263;641;"AP-1-like transcription factor";"Grosmannia clavigera";"Ophiostoma piceae";"K09043";"AP1F; fungal AP-1-like factor";"ap-1- bzip transcription factor";4;"P:regulation of transcription, DNA-dependent; F:sequence-specific DNA binding; F:protein dimerization activity; F:sequence-specific DNA binding transcription factor activity";"";"";"";"N";"";"";"";"g0658"
"661";"Anna Fijarczyk";"Transcription factor";"OphioH327gp0670";"I";"-";"2.579.834";"2.582.812";2.979;992;"2.579.834";"2.582.812";0;0;992;"Fungal-specific transcription factor";"Grosmannia clavigera";"Ophiostoma piceae";"";"";"fungal-specific transcription factor";9;"P:transcription from RNA polymerase II promoter; F:DNA binding; C:nucleus; F:zinc ion binding; P:regulation of transcription from RNA polymerase II promoter; F:sequence-specific DNA binding RNA polymerase II transcription factor activity; P:regulation of transcription, DNA-dependent; F:metal ion binding; P:transcription, DNA-dependent";"";"";"";"N";"";"";"";"g0670"
"662";"Anna Fijarczyk";"Transcription factor";"OphioH327gp0707";"I";"-";"2.731.321";"2.733.396";2.076;949;"2.731.321";"2.733.396";0;0;691;"Transcription factor TFIIIB component B'' (Transcription factor TFIIIB complex subunit bdp1)";"Grosmannia clavigera";"Ophiostoma piceae";"K15198";"BDP1, TFC5; transcription factor TFIIIB component B''";"transcription factor tfiiib component";4;"F:chromatin binding; F:DNA binding; P:biological_process; C:nucleus";"";"";"";"N";"";"";"";"g0707"
"663";"Anna Fijarczyk";"Transcription factor";"OphioH327gp0751";"I";"-";"2.899.191";"2.901.223";2.033;320;"2.899.191";"2.901.223";2;158;624;"pH-response transcription factor pacC/RIM101";"Togninia minima";"Sporothrix schenckii";"";"";"ph-response transcription factor pacc rim101";1;"F:binding";"-";"";"";"N";"";"";"";"g0751"
"664";"Anna Fijarczyk";"Transcription factor";"OphioH327gp0778";"I";"+";"2.996.505";"3.000.279";3.775;3.994;"2.996.505";"3.000.279";2;352;1.14;"Fungal specific transcription factor domain-containing protein";"Colletotrichum fioriniae";"Ophiostoma piceae";"";"";"fungal specific transcription factor domain-containing protein";1;"P:transcription, DNA-dependent";"-";"";"";"N";"";"";"";"g0778"
"665";"Anna Fijarczyk";"Transcription factor";"OphioH327gp0864";"I";"-";"3.306.267";"3.308.915";2.649;88;"3.306.267";"3.308.915";1;66;860;"Nitrogen assimilation transcription factor nit-4";"Pyrenophora teres";"Ophiostoma piceae";"";"";"nitrogen assimilation transcription factor nit-4";9;"P:transcription from RNA polymerase II promoter; F:DNA binding; C:nucleus; F:zinc ion binding; P:regulation of transcription from RNA polymerase II promoter; F:sequence-specific DNA binding RNA polymerase II transcription factor activity; P:regulation of transcription, DNA-dependent; F:metal ion binding; P:transcription, DNA-dependent";"";"";"";"N";"";"";"";"g0864"
"666";"Anna Fijarczyk";"Transcription factor";"OphioH327gp0865";"I";"-";"3.309.925";"3.314.016";2.525;1.009;"3.311.492";"3.314.016";3;293;743;"Forkhead transcription factor fkh1";"Grosmannia clavigera";"Ophiostoma piceae";"";"";"fork head domain-containing protein";1;"F:DNA binding";"-";"";"";"N";"";"";"";"g0865"
"667";"Anna Fijarczyk";"Transcription factor";"OphioH327gp0893";"I";"+";"3.415.749";"3.418.160";2.412;2.385;"3.415.749";"3.418.160";2;150;753;"C6 zinc finger fungal transcription factor";"Gaeumannomyces graminis";"Ophiostoma piceae";"";"";"c6 zinc finger domain-containing protein";5;"F:sequence-specific DNA binding RNA polymerase II transcription factor activity; P:regulation of transcription from RNA polymerase II promoter; F:DNA binding; C:nucleus; F:zinc ion binding";"-";"";"";"N";"";"";"";"g0893"
"668";"Anna Fijarczyk";"Transcription factor";"OphioH327gp0901";"I";"-";"3.444.658";"3.447.384";2.727;541;"3.444.658";"3.447.384";0;0;908;"Nitrogen assimilation transcription factor NirA";"Byssochlamys spectabilis";"Ophiostoma piceae";"";"";"nitrogen assimilation transcription factor nira";1;"P:transcription, DNA-dependent";"-";"";"";"N";"";"";"";"g0901"
"669";"Anna Fijarczyk";"Transcription factor";"OphioH327gp0923";"I";"-";"3.536.700";"3.537.779";1.08;5.866;"3.536.700";"3.537.779";0;0;359;"C6 zinc finger fungal transcription factor";"Penicillium roqueforti";"Ophiostoma piceae";"";"";"c6 finger domain";6;"P:regulation of transcription, DNA-dependent; P:transcription from RNA polymerase II promoter; F:sequence-specific DNA binding RNA polymerase II transcription factor activity; F:zinc ion binding; P:regulation of transcription from RNA polymerase II promoter; C:nucleus";"";"";"";"N";"";"";"";"g0923"
"670";"Anna Fijarczyk";"Transcription factor";"OphioH327gp1013";"I";"+";"3.909.656";"3.914.020";4.365;3.419;"3.909.656";"3.914.020";3;1.098;1.088;"Cutinase transcription factor 1 alpha";"Grosmannia clavigera";"Ophiostoma piceae";"";"";"cutinase transcription factor 1 alpha";2;"P:transcription, DNA-dependent; F:binding";"-";"";"";"N";"";"";"";"g1013"
"671";"Anna Fijarczyk";"Transcription factor";"OphioH327gp1079";"I";"+";"4.158.189";"4.160.897";2.709;2.592;"4.158.189";"4.160.897";0;0;902;"C6 zinc finger fungal transcription factor";"Neurospora tetrasperma";"Ophiostoma piceae";"";"";"c6 zinc finger domain containing protein";9;"P:transcription from RNA polymerase II promoter; F:DNA binding; C:nucleus; F:zinc ion binding; P:regulation of transcription from RNA polymerase II promoter; F:sequence-specific DNA binding RNA polymerase II transcription factor activity; P:regulation of transcription, DNA-dependent; F:metal ion binding; P:transcription, DNA-dependent";"";"";"";"N";"";"cluster gene";"";"g1079"
"672";"Anna Fijarczyk";"Transcription factor";"OphioH327gp1091";"I";"-";"4.204.867";"4.206.564";1.698;2.604;"4.204.867";"4.206.564";3;180;505;"Bzip transcription factor";"Grosmannia clavigera";"Ophiostoma piceae";"";"";"bzip transcription factor";4;"F:sequence-specific DNA binding transcription factor activity; F:sequence-specific DNA binding; F:protein dimerization activity; P:regulation of transcription, DNA-dependent";"-";"";"";"N";"";"";"";"g1091"
"673";"Anna Fijarczyk";"Transcription factor";"OphioH327gp1140";"I";"+";"4.398.889";"4.399.351";463;5.55;"4.398.889";"4.399.351";1;97;121;"C6 zinc finger fungal transcription factor";"Grosmannia clavigera";"Ophiostoma piceae";"";"";"c6 zinc finger domain containing protein";1;"P:transcription, DNA-dependent";"-";"";"";"N";"";"";"";"g1140"
"674";"Anna Fijarczyk";"Transcription factor";"OphioH327gp1173";"I";"-";"4.484.709";"4.487.420";2.712;555;"4.484.709";"4.487.420";4;294;805;"C6 zinc finger fungal transcription factor";"Grosmannia clavigera";"Ophiostoma piceae";"";"";"c6 transcription factor";9;"P:regulation of transcription, DNA-dependent; P:transcription from RNA polymerase II promoter; F:sequence-specific DNA binding RNA polymerase II transcription factor activity; F:zinc ion binding; P:regulation of transcription from RNA polymerase II promoter; C:nucleus; F:DNA binding; F:metal ion binding; P:transcription, DNA-dependent";"";"";"";"N";"";"";"";"g1173"
"675";"Anna Fijarczyk";"Transcription factor";"OphioH327gp1190.1";"I";"-";"4.538.969";"4.540.755";1.787;691;"4.538.969";"4.540.755";1;119;555;"C6 zinc finger fungal transcription factor";"Grosmannia clavigera";"Ophiostoma piceae";"";"";"c6 transcription factor";7;"P:regulation of transcription, DNA-dependent; P:transcription from RNA polymerase II promoter; F:sequence-specific DNA binding RNA polymerase II transcription factor activity; F:zinc ion binding; P:regulation of transcription from RNA polymerase II promoter; C:nucleus; F:sequence-specific DNA binding transcription factor activity";"";"";"";"N";"";"";"";"g1190"
"676";"Anna Fijarczyk";"Transcription factor";"OphioH327gp1193";"I";"-";"4.546.579";"4.550.275";3.697;534;"4.546.579";"4.550.275";2;130;1.188;"C6 zinc finger fungal transcription factor";"Gaeumannomyces graminis";"Ophiostoma piceae";"";"";"c6 zinc finger domain-containing protein";1;"P:transcription, DNA-dependent";"-";"";"";"N";"";"";"";"g1193"
"677";"Anna Fijarczyk";"Transcription factor";"OphioH327gp1227";"I";"+";"4.682.719";"4.685.574";2.856;7.575;"4.682.719";"4.685.574";0;0;951;"C6 zinc finger fungal transcription factor";"Grosmannia clavigera";"Ophiostoma piceae";"";"";"c6 finger domain-containing protein";4;"F:sequence-specific DNA binding RNA polymerase II transcription factor activity; P:regulation of transcription from RNA polymerase II promoter; C:nucleus; F:zinc ion binding";"-";"";"";"N";"";"";"";"g1227"
"678";"Anna Fijarczyk";"Transcription factor";"OphioH327gp1274";"I";"+";"4.876.767";"4.879.148";2.382;2.529;"4.876.767";"4.879.148";0;0;793;"Transcription factor IIIB 70 kDa subunit (TFIIIB) (B-related factor 1) (BRF-1)";"Grosmannia clavigera";"Ophiostoma piceae";"K15196";"BRF1, GTF3B; transcription factor IIIB 90 kDa subunit";"transcription initiation factor iib";2;"F:binding; P:regulation of transcription, DNA-dependent";"-";"";"";"N";"";"";"";"g1274"
"679";"Anna Fijarczyk";"Transcription factor";"OphioH327gp1397";"I";"+";"5.308.532";"5.309.779";1.248;5.282;"5.308.532";"5.309.779";0;0;415;"Transcription factor";"Grosmannia clavigera";"Ophiostoma piceae";"";"";"transcription factor";7;"P:regulation of transcription, DNA-dependent; P:transcription from RNA polymerase II promoter; F:sequence-specific DNA binding RNA polymerase II transcription factor activity; F:zinc ion binding; P:regulation of transcription from RNA polymerase II promoter; C:nucleus; F:sequence-specific DNA binding transcription factor activity";"";"";"";"N";"";"";"";"g1397"
"680";"Anna Fijarczyk";"Transcription factor";"OphioH327gp1399";"I";"-";"5.315.187";"5.325.683";3.395;2.408;"5.315.187";"5.318.581";1;65;1.109;"Transcription factor cmr1";"Grosmannia clavigera";"Ophiostoma piceae";"";"";"transcription factor cmr1";6;"F:zinc ion binding; F:nucleic acid binding; C:intracellular; P:regulation of transcription, DNA-dependent; P:melanin biosynthetic process; P:transcription from RNA polymerase II promoter";"-";"";"";"N";"";"";"";"g1399"
"681";"Anna Fijarczyk";"Transcription factor";"OphioH327gp1537";"I";"+";"5.831.786";"5.834.612";2.827;5.974;"5.831.786";"5.834.612";1;772;684;"Fungal specific transcription factor domain containing protein";"Grosmannia clavigera";"Ophiostoma piceae";"";"";"fungal specific transcription factor domain containing protein";5;"F:sequence-specific DNA binding RNA polymerase II transcription factor activity; P:regulation of transcription from RNA polymerase II promoter; F:DNA binding; C:nucleus; F:zinc ion binding";"-";"";"";"N";"";"";"";"g1537"
"682";"Anna Fijarczyk";"Transcription factor";"OphioH327gp1570";"I";"-";"5.936.290";"5.938.590";2.301;136;"5.936.290";"5.938.590";3;255;681;"Fungal specific transcription factor";"Stachybotrys chartarum";"Ophiostoma piceae";"";"";"fungal specific transcription factor domain protein";3;"F:metal ion binding; P:transcription from RNA polymerase II promoter; P:regulation of transcription, DNA-dependent";"-";"";"";"N";"";"";"";"g1570"
"683";"Anna Fijarczyk";"Transcription factor";"OphioH327gp1624";"I";"-";"6.133.242";"6.134.921";1.68;3.605;"6.133.242";"6.134.921";3;594;361;"C2H2 transcription factor";"Grosmannia clavigera";"Ophiostoma piceae";"";"";"c2h2 transcription factor";5;"F:zinc ion binding; F:nucleic acid binding; C:intracellular; P:ascospore formation; P:regulation of chitin biosynthetic process";"-";"";"";"N";"";"";"";"g1624"
"684";"Anna Fijarczyk";"Transcription factor";"OphioH327gp1759";"I";"+";"6.646.519";"6.651.994";5.476;4.696;"6.646.519";"6.651.994";2;145;1.776;"PHD transcription factor";"Grosmannia clavigera";"Ophiostoma piceae";"K11446";"JARID1; histone demethylase JARID1 [EC:1.14.11.-]";"phd transcription factor";5;"F:oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, 2-oxoglutarate as one donor, and incorporation of one atom each of oxygen into both donors; C:nucleus; F:DNA binding; P:oxidation-reduction process; F:zinc ion binding";"EC:1.14.11.0";"";"";"N";"";"";"";"g1759"
"685";"Anna Fijarczyk";"Transcription factor";"OphioH327gp1824";"I";"+";"6.840.433";"6.842.888";2.456;7.251;"6.840.433";"6.842.888";1;74;793;"Transcription factor MBP1 (MBF subunit p120)";"Togninia minima";"Ophiostoma piceae";"K06647";"MBP1; transcription factor MBP1";"transcription factor mbp1";3;"P:regulation of transcription, DNA-dependent; F:sequence-specific DNA binding transcription factor activity; F:DNA binding";"";"";"";"N";"";"";"";"g1824"
"686";"Anna Fijarczyk";"Transcription factor";"OphioH327gp1844";"I";"-";"6.889.912";"6.892.181";2.27;1.161;"6.889.912";"6.892.181";1;53;738;"Fungal specific transcription factor domain containing protein";"Trichoderma reesei";"Ophiostoma piceae";"";"";"n-terminal fungal transcription factor-containing protein";4;"F:sequence-specific DNA binding RNA polymerase II transcription factor activity; P:regulation of transcription from RNA polymerase II promoter; C:nucleus; F:zinc ion binding";"-";"";"";"N";"";"";"";"g1844"
"687";"Anna Fijarczyk";"Transcription factor";"OphioH327gp1934";"II";"-";"292.153";"294.988";2.836;657;"7.230.085";"7.232.920";5;280;851;"Zinc finger transcription factor YRR1 (Pleiotropic drug-resistance protein 2)";"Podospora anserina";"Ophiostoma piceae";"";"";"hypothetical protein";9;"P:transcription from RNA polymerase II promoter; F:DNA binding; C:nucleus; F:zinc ion binding; P:regulation of transcription from RNA polymerase II promoter; F:sequence-specific DNA binding RNA polymerase II transcription factor activity; P:regulation of transcription, DNA-dependent; F:metal ion binding; P:transcription, DNA-dependent";"";"";"";"N";"";"";"";"g1934"
"688";"Anna Fijarczyk";"Transcription factor";"OphioH327gp1942";"II";"-";"331.522";"332.268";747;1.269;"7.269.454";"7.270.200";0;0;248;"Nuclear transcription factor Y subunit A-7";"Magnaporthe oryzae";"Ophiostoma piceae";"K08064";"NFYA; nuclear transcription factor Y, alpha";"nuclear transcription factor y subunit a-7";1;"P:mycelium development";"-";"";"";"N";"Y";"";"";"g1942"
"689";"Anna Fijarczyk";"Transcription factor";"OphioH327gp1961";"II";"-";"430.462";"432.017";1.556;470;"7.368.394";"7.369.949";2;125;476;"AP-1-like transcription factor (Caffeine resistance protein 3)";"Gaeumannomyces graminis";"Ophiostoma piceae";"";"";"bzip-type transcription factor";5;"P:regulation of transcription, DNA-dependent; F:sequence-specific DNA binding; F:sequence-specific DNA binding transcription factor activity; P:translational initiation; F:translation initiation factor activity";"";"";"";"N";"";"";"";"g1961"
"690";"Anna Fijarczyk";"Transcription factor";"OphioH327gp2051";"II";"+";"792.889";"793.230";342;631;"7.730.821";"7.731.162";0;0;113;"Max-like protein X (Transcription factor-like protein 4)";"Fusarium oxysporum";"Ophiostoma piceae";"";"";"helix-loop-helix dna-binding domain-containing protein";2;"F:protein dimerization activity; C:cytoplasm";"-";"";"";"N";"";"";"";"g2051"
"691";"Anna Fijarczyk";"Transcription factor";"OphioH327gp2128";"II";"-";"1.091.035";"1.094.073";3.039;199;"8.028.967";"8.032.005";0;0;1.012;"Nitrogen assimilation transcription factor nit-4";"Podospora anserina";"Ophiostoma piceae";"";"";"nitrogen assimilation transcription factor nit-4";6;"F:sequence-specific DNA binding RNA polymerase II transcription factor activity; P:regulation of transcription from RNA polymerase II promoter; F:DNA binding; P:nitrate assimilation; C:nucleus; F:zinc ion binding";"-";"";"";"N";"";"";"";"g2128"
"692";"Anna Fijarczyk";"Transcription factor";"OphioH327gp2248";"II";"+";"1.593.434";"1.598.765";5.332;3.776;"8.531.366";"8.536.697";1;58;1.757;"Membrane-tethered transcription factor";"Grosmannia clavigera";"Sporothrix schenckii";"K06867";"Unclassified; Poorly Characterized";"ankyrin repeat protein";0;"-";"";"";"";"N";"";"";"";"g2248"
"693";"Anna Fijarczyk";"Transcription factor";"OphioH327gp2314";"II";"-";"1.865.340";"1.866.293";954;8.055;"8.803.272";"8.804.225";0;0;317;"C6 zinc finger fungal transcription factor";"Grosmannia clavigera";"Ophiostoma piceae";"";"";"zn 2cys6 transcription factor";1;"F:binding";"-";"";"";"N";"";"";"";"g2314"
"694";"Anna Fijarczyk";"Transcription factor";"OphioH327gp2352";"II";"+";"2.015.294";"2.017.380";2.087;736;"8.953.226";"8.955.312";1;68;672;"Similar to transcription factor Cys6";"Exophiala aquamarina";"Ophiostoma piceae";"";"";"c6 transcription";6;"P:regulation of transcription, DNA-dependent; P:transcription from RNA polymerase II promoter; F:sequence-specific DNA binding RNA polymerase II transcription factor activity; F:zinc ion binding; P:regulation of transcription from RNA polymerase II promoter; C:nucleus";"";"";"";"N";"";"";"";"g2352"
"695";"Anna Fijarczyk";"Transcription factor";"OphioH327gp2369";"II";"-";"2.075.675";"2.077.219";1.545;1.457;"9.013.607";"9.015.151";2;171;457;"Transcription factor";"Grosmannia clavigera";"Ophiostoma piceae";"";"";"transcription factor";1;"F:zinc ion binding";"";"";"";"N";"";"";"";"g2369"
"696";"Anna Fijarczyk";"Transcription factor";"OphioH327gp2394";"II";"-";"2.167.766";"2.170.100";2.335;972;"9.105.698";"9.108.032";2;235;699;"Zinc finger and SCAN domain-containing protein 21 (Transcription factor RU49)";"Grosmannia clavigera";"Ophiostoma piceae";"K09228";"KRAB; KRAB domain-containing zinc finger protein";"zinc finger protein csr1p";3;"F:nucleic acid binding; F:zinc ion binding; C:intracellular";"";"";"";"N";"";"";"";"g2394"
"697";"Anna Fijarczyk";"Transcription factor";"OphioH327gp2420";"II";"+";"2.281.897";"2.284.451";2.555;4.879;"9.219.829";"9.222.383";2;140;804;"Bzip transcription factor";"Grosmannia clavigera";"Ophiostoma piceae";"";"";"bzip transcription factor";4;"F:sequence-specific DNA binding transcription factor activity; F:sequence-specific DNA binding; F:protein dimerization activity; P:regulation of transcription, DNA-dependent";"-";"";"";"N";"";"";"";"g2420"
"698";"Anna Fijarczyk";"Transcription factor";"OphioH327gp2518";"II";"-";"2.637.967";"2.640.465";2.499;1.403;"9.575.899";"9.578.397";0;0;832;"Forkhead transcription factor";"Grosmannia clavigera";"Ophiostoma piceae";"K09413";"HCM1; forkhead transcription factor HCM1";"forkhead box protein l2";2;"P:transcription, DNA-dependent; F:DNA binding";"-";"";"";"N";"";"";"";"g2518"
"699";"Anna Fijarczyk";"Transcription factor";"OphioH327gp2591";"II";"-";"2.951.657";"2.953.846";2.19;4.942;"9.889.589";"9.891.778";1;1.26;309;"Bzip transcription factor";"Grosmannia clavigera";"Sporothrix schenckii";"";"";"regulatory protein cys-3";4;"F:sequence-specific DNA binding transcription factor activity; F:sequence-specific DNA binding; F:protein dimerization activity; P:regulation of transcription, DNA-dependent";"-";"";"";"N";"";"";"";"g2591"
"700";"Anna Fijarczyk";"Transcription factor";"OphioH327gp2603";"II";"+";"3.001.302";"3.004.839";3.538;597;"9.939.234";"9.942.771";1;64;1.157;"CCAAT-box-binding transcription factor";"Togninia minima";"Ophiostoma piceae";"K14832";"MAK21, NOC1, CEBPZ; ribosome biogenesis protein MAK21";"ribosome biogenesis protein mak21";2;"C:Noc1p-Noc2p complex; P:ribosomal large subunit assembly";"-";"";"";"N";"";"";"";"g2603"
"701";"Anna Fijarczyk";"Transcription factor";"OphioH327gp2716";"II";"-";"3.397.718";"3.398.729";1.012;510;"10.335.650";"10.336.661";1;55;318;"CBF NF-Y family transcription factor";"Grosmannia clavigera";"Ophiostoma piceae";"K03506";"POLE4; DNA polymerase epsilon subunit 4 [EC:2.7.7.7]";"histone-like transcription factor and archaeal histone";2;"C:intracellular; F:binding";"-";"";"";"N";"";"";"";"g2716"
"702";"Anna Fijarczyk";"Transcription factor";"OphioH327gp2725";"II";"-";"3.419.109";"3.419.921";813;677;"10.357.041";"10.357.853";0;0;270;"Bzip transcription factor";"Grosmannia clavigera";"Ophiostoma piceae";"";"";"bzip transcription factor";5;"F:sequence-specific DNA binding transcription factor activity; F:sequence-specific DNA binding; F:protein dimerization activity; C:integral to membrane; P:regulation of transcription, DNA-dependent";"-";"";"";"N";"";"";"";"g2725"
"703";"Anna Fijarczyk";"Transcription factor";"OphioH327gp2789";"II";"+";"3.653.661";"3.656.738";3.078;2.653;"10.591.593";"10.594.670";2;123;984;"Transcription factor";"Grosmannia clavigera";"Ophiostoma piceae";"";"";"transcription factor";2;"P:transcription, DNA-dependent; F:binding";"-";"";"";"N";"";"";"";"g2789"
"704";"Anna Fijarczyk";"Transcription factor";"OphioH327gp2798";"II";"-";"3.685.554";"3.687.470";1.917;865;"10.623.486";"10.625.402";2;828;362;"Bzip transcription factor";"Grosmannia clavigera";"Ophiostoma piceae";"";"";"bzip transcription factor";1;"F:binding";"-";"";"";"N";"";"";"";"g2798"
"705";"Anna Fijarczyk";"Transcription factor";"OphioH327gp2811";"II";"+";"3.732.379";"3.732.874";496;3.309;"10.670.311";"10.670.806";1;154;113;"MKL/myocardin-like protein 2 (Myocardin-related transcription factor B)";"Sordaria macrospora";"Ophiostoma piceae";"";"";"unnamed protein product";0;"-";"";"";"";"N";"";"";"";"g2811"
"706";"Anna Fijarczyk";"Transcription factor";"OphioH327gp2828";"II";"-";"3.793.296";"3.797.967";4.672;719;"10.731.228";"10.735.899";4;463;1.402;"Putative C6 zinc finger domain fungal transcription factor";"Podospora anserina";"Podospora anserina";"";"";"sequence-specific dna binding protein";5;"P:regulation of transcription, DNA-dependent; F:nucleic acid binding; P:transcription, DNA-dependent; C:nucleus; F:sequence-specific DNA binding transcription factor activity";"";"";"";"N";"";"";"";"g2828"
"707";"Anna Fijarczyk";"Transcription factor";"OphioH327gp2835";"II";"+";"3.830.691";"3.832.475";1.785;4.463;"10.768.623";"10.770.407";1;84;566;"Transcription factor ste11";"Grosmannia clavigera";"Ophiostoma piceae";"";"";"hmg box protein";0;"-";"";"";"";"N";"";"";"";"g2835"
"708";"Anna Fijarczyk";"Transcription factor";"OphioH327gp2883";"II";"-";"4.009.011";"4.010.710";1.7;1.752;"10.946.943";"10.948.642";3;1.103;198;"Nuclear transcription factor Y subunit beta (CAAT box DNA-binding protein subunit B)";"Thielavia terrestris";"Ophiostoma piceae";"K08065";"NFYB; nuclear transcription Y subunit beta";"nuclear transcription factor y subunit b-3";4;"F:sequence-specific DNA binding; C:nucleus; F:protein heterodimerization activity; P:regulation of transcription, DNA-dependent";"-";"";"";"N";"";"";"";"g2883"
"709";"Anna Fijarczyk";"Transcription factor";"OphioH327gp3085";"II";"-";"4.717.790";"4.721.193";3.404;729;"11.655.722";"11.659.125";2;152;1.083;"Fungal specific transcription factor domain-containing protein ";"Gaeumannomyces graminis";"Ophiostoma piceae";"";"";"fungal specific transcription factor domain-containing protein";1;"P:transcription, DNA-dependent";"-";"";"";"N";"";"";"";"g3085"
